province,prefecture,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,CO_s5,NO2_s5,O3_s5,SO2_s5,Aerosol_s5,HCHO_s5,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr
Fujian,Quanzhou,8700000,796.4726359,47,0.540229885,0,0,0,0.039209899,3.83E-05,0.116540892,-1.66E-05,-1.084021867,0.000142405,82.65122396,45.76233533,5.874316635,9.536015812,35.99499651,5.417359079
Fujian,Sanming,2580000,112.4163184,14,0.542635659,0,0,0,0.039097849,2.75E-05,0.11726502,-1.72E-06,-1.140253498,0.000135214,74.54832537,36.61234078,9.212118435,10.61763076,14.31112825,7.359890011
Fujian,Xiamen,4110000,2683.784465,35,0.851581509,0,0,0,0.041059197,6.76E-05,0.116659474,-2.22E-05,-1.00291543,0.000165234,91.33856566,43.25277138,5.266193214,13.47359813,33.21876583,5.413121797
Fujian,Zhangzhou,5140000,410.5145703,20,0.389105058,0,0,0,0.039409643,4.08E-05,0.116366338,-2.21E-05,-1.104454552,0.000150048,85.68204084,44.27196582,4.891330265,10.68222791,21.06827263,5.227116547
Gansu,Baiyin,1734200,86.27495239,4,0.230653904,0,0,0,0.02953427,2.97E-05,0.133318003,0.000109212,-0.774895021,9.62E-05,107.0459459,91.64774775,9.397297297,14.64684685,20.27727273,22.83153153
Gansu,Dingxi,2821700,143.3298139,9,0.318956657,0,0,0,0.027103681,1.94E-05,0.129310954,5.19E-05,-0.902554362,9.54E-05,95.48574238,59.05358899,7.823326772,10.52753196,27.18886098,12.13176008
Gansu,Gannan Tibetan,720200,19.72872742,8,1.110802555,0,0,0,0.021253268,8.97E-06,0.126147101,3.91E-05,-1.084701728,6.81E-05,120.0005013,76.00050125,13.25714286,14.49573935,18.25520041,7.102255639
Gansu,Jiayuguan,252000,193.8207353,0,0,0,0,,0.030044637,4.49E-05,0.138851378,0.000108622,-0.473320599,8.01E-05,92.17613285,85.41895928,6.92458984,13.28798575,50.53927335,14.35908083
Gansu,Jinchang,468600,63.6832358,1,0.213401622,0,0,0,0.027226929,2.11E-05,0.137034894,8.65E-05,-0.601430957,8.35E-05,94.48538593,75.52193114,11.36142193,8.940285566,39.04528176,21.69847781
Gansu,Jiuquan,1127000,7.737810646,0,0,0,0,,0.025797452,1.03E-05,0.139807465,3.62E-05,-0.382104772,6.09E-05,,,,,,
Gansu,Lanzhou,3753600,282.8722345,36,0.959079284,2,0.053282182,5.555555556,0.02978857,5.95E-05,0.13217478,0.000137367,-0.888594758,0.000105592,121.1528249,84.55935627,13.0807547,22.743814,33.58412477,13.12395829
Gansu,Linxia Hui,2058800,254.7814498,3,0.145715951,0,0,0,0.027985731,2.77E-05,0.130440421,8.04E-05,-0.90111339,0.000109256,73.90386625,46,9.151515152,18.19958203,27.57777778,10.14315569
Gansu,Longnan,2634300,92.5652268,4,0.151842994,0,0,0,0.030641432,1.85E-05,0.12645354,5.54E-05,-0.957795172,0.000105085,107.712831,58.99185336,7.205702648,9.759674134,34.22365591,11.15682281
Gansu,Pingliang,2119100,191.4236357,9,0.424708603,0,0,0,0.032158963,3.03E-05,0.130946862,5.46E-05,-0.916597306,0.000111723,102.2907801,56.88120567,8.691489362,20.89539007,20.2954342,11.38741135
Gansu,Qingyang,2266600,83.43164128,3,0.132356834,0,0,0,0.032569808,2.40E-05,0.133553252,7.47E-05,-0.920119367,0.000106536,82.62049207,58.15493814,9.968095303,5.998089441,31.55336677,7.765268006
Gansu,Tianshui,3354900,235.757334,12,0.357685773,0,0,0,0.030931822,2.28E-05,0.128910794,5.34E-05,-0.9288139,0.000107536,96.33895297,58.86956522,7.409498208,16.15794144,25.8513146,9.653948536
Gansu,Wuwei,1827800,55.89208982,0,0,0,0,,0.027905447,1.97E-05,0.13674862,7.33E-05,-0.589333699,8.38E-05,95.1841637,76.27669039,13.95907473,11.47686833,25.50499546,16.83985765
Gansu,Zhangye,1233800,31.15862739,2,0.162100827,0,0,0,0.023613338,1.64E-05,0.136827746,5.26E-05,-0.788481188,6.90E-05,90.05929204,63.61946903,5.738938053,9.476106195,34.63333333,12.32035398
Guangdong,Chaozhou,2656600,828.8113932,6,0.225852594,0,0,0,0.040545407,3.84E-05,0.116294718,-2.08E-05,-1.110440736,0.000150058,99.7589314,48.42938855,9.943219419,8.101516728,40.91574583,6.467223261
Guangdong,Dongguan,8392200,3469.672666,100,1.19158266,1,0.011915827,1,0.044731199,0.000125673,0.116526592,-4.97E-05,-0.938996871,0.000219848,98.57647141,44.61406703,7.511318863,16.00101777,35.19224004,8.077706303
Guangdong,Foshan,7905700,2036.169053,100,1.214313723,0,0,0,0.045435338,0.000160883,0.116541902,-3.01E-05,-0.941954922,0.000215633,99.63088733,47.26259439,8.84990904,20.28441155,24.04725528,9.423629885
Guangdong,Guangzhou,14904400,2088.678485,507,3.133302917,1,0.006709428,0.214132762,0.044277806,9.51E-05,0.116669202,-3.91E-05,-1.023903909,0.000194757,100.554408,48.22024175,8.093725901,17.63483414,28.10195826,7.469590665
Guangdong,Heyuan,3093900,198.0239753,4,0.129286661,0,0,0,0.040842835,2.90E-05,0.116464453,-2.69E-05,-1.180112864,0.000146464,92.92767036,41.60768086,7.706140528,10.92837258,27.080534,5.678277851
Guangdong,Huizhou,4830000,427.1469298,62,1.283643892,0,0,0,0.042497798,4.75E-05,0.116443349,-3.99E-05,-1.112951485,0.000162581,81.91322805,40.05766032,6.178458085,9.521392269,28.01778569,5.484315394
Guangdong,Jiangmen,4598200,490.1912339,24,0.521943369,0,0,0,0.043834126,8.95E-05,0.116308193,-2.56E-05,-1.02056729,0.000179873,96.28402561,48.70814366,7.171785872,15.65639597,21.7232415,9.187327003
Guangdong,Jieyang,6089400,1166.321788,11,0.180641771,0,0,0,0.041381594,4.15E-05,0.116146647,-4.39E-05,-1.061753693,0.00015023,98.86262488,46.79041456,8.866759759,9.400639183,33.72853425,9.21310332
Guangdong,Maoming,6313200,554.8849282,14,0.221757587,0,0,0,0.043223681,3.04E-05,0.116029577,-2.09E-05,-1.035144644,0.000152483,87.43612214,41.21722937,7.607016215,6.764364827,28.23541415,7.844057675
Guangdong,Meizhou,4378800,276.8343288,17,0.388234219,0,0,0,0.040251019,3.22E-05,0.116368358,-2.84E-05,-1.178679275,0.000141718,94.52221504,44.0932917,8.434061999,9.978666866,23.61178929,4.736740199
