LTLA/NHS,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat_mean,NO2_sat_mean,Z-score,p-value,q-value
Ipswich,137532,3481,348,253,112,81,32,12.05938427,5.380094468,1.079373081,0.258,1
Isle of Anglesey,69961,98,222,317,16,23,7,6.69163671,1.866866684,#NAME?,0.002,3
Isle of Wight,141538,372,199,141,58,41,29,11.45667764,4.356833279,#NAME?,0.002,4
Isles of Scilly,2242,137,0,0,0,0,,6.393984976,,,,
Islington,239142,16091,462,193,143,60,31,14.13128657,10.03206227,2.842409112,0.002,1
Kensington and Chelsea,156197,12878,497,318,119,76,24,14.55888164,10.06643581,-2.548002958,0.002,2
Kettering,101266,433,242,239,58,57,24,11.41731031,4.981555621,-0.750618731,0.492,2
King's Lynn and West Norfolk,151811,105,670,441,125,82,19,11.6494357,4.152566671,-0.90829032,0.352,2
"Kingston upon Hull, City of",260645,3646,727,279,127,49,17,11.8800215,8.039666891,-0.045779986,0.834,2
Kingston upon Thames,175470,4707,523,298,118,67,23,13.85242105,8.365300272,-2.926515639,0.002,2
Kirklees,438727,1073,754,172,258,59,34,10.13235656,6.327600002,-0.382799985,0.668,4
Knowsley,149571,1728,667,446,123,82,18,10.49445233,5.663867585,0.181432513,0.836,3
Lambeth,325917,12152,1210,371,259,79,21,13.85903273,10.23197538,-2.576639205,0.004,2
Lancaster,144246,250,798,553,63,44,8,7.701996836,3.318583369,2.294988366,0.026,3
Leeds,789194,1429,1832,232,584,74,32,10.69580341,6.436916709,-0.328279464,0.74,4
Leicester,355218,4840,896,252,221,62,25,12.77187495,5.693333387,-0.903053912,0.368,2
Lewes,102744,352,202,197,93,91,46,12.33521506,5.165777842,1.070367772,0.254,1
Lewisham,303536,8633,983,324,273,90,28,13.99020812,10.02341035,1.890077504,0.026,1
Lichfield,103965,314,282,271,99,95,35,11.33635936,4.846444607,0.693800077,0.498,1
Lincoln,99039,2773,121,122,22,22,18,12.05684208,8.931734326,-0.441889249,0.782,2
Lisburn and Castlereagh,144381,282,435,301,45,31,10,4.879396572,2.359999997,4.60807083,0.002,3
Liverpool,494814,4421,1627,329,519,105,32,11.06961405,5.395666838,0.106932338,0.998,1
Lothian,897770,521,2706,301,649,72,24,5.522683318,3.04906174,3.787089656,0.004,3
Luton,214109,4936,756,353,172,80,23,12.03730384,6.024868321,-0.676991358,0.56,2
Maidstone,169955,432,434,255,92,54,21,11.91878669,6.269333458,-1.664719489,0.068,2
Maldon,64425,180,95,147,29,45,31,12.74066683,5.515111128,1.124944851,0.256,1
Malvern Hills,78113,135,136,174,42,54,31,10.15159986,3.869047574,-0.148626631,0.848,4
Manchester,547627,4732,1578,288,333,61,21,12.69101165,6.512475259,-0.080450931,0.994,2
Mansfield,108841,1418,131,120,58,53,44,11.43755063,7.983425639,0.611606233,0.554,1
Medway,277855,1436,764,275,155,56,20,12.86896193,7.833166599,-1.333040764,0.166,2
Melton,51100,106,71,139,20,39,28,11.20186336,5.563888947,0.931311538,0.376,1
Mendip,114881,155,63,55,18,16,29,8.761837986,3.441757549,-1.464231009,0.172,4
Merthyr Tydfil,60183,537,401,666,59,98,15,7.453691545,2.971993425,2.017432959,0.076,3
Merton,206186,5478,696,338,185,90,27,14.09759729,9.489176815,-2.571765625,0.006,2
Mid and East Antrim,138773,130,326,235,40,29,12,4.442494075,1.794133345,4.189190148,0.002,3
Mid Devon,81695,89,96,118,15,18,16,6.9897588,2.392333329,3.478155986,0.006,3
Mid Suffolk,102493,118,174,170,55,54,32,11.73955886,5.069444418,1.264439492,0.194,1
Mid Sussex,149716,448,287,192,147,98,51,11.42868057,5.286000093,1.594715568,0.1,1
Mid Ulster,147392,75,250,170,29,20,12,4.120382331,1.355310356,5.873954988,0.002,3
Middlesbrough,140545,2606,676,481,178,127,26,9.856717436,5.60588162,0.980952546,0.332,3
Milton Keynes,268607,870,509,189,183,68,36,11.85188716,5.226833344,0.904690569,0.368,1
Mole Valley,87253,338,227,260,87,100,38,11.33190984,6.53516674,1.884151281,0.03,1
Monmouthshire,94142,111,342,363,58,62,17,8.597531272,4.008266664,1.724567918,0.116,3
Neath Port Talbot,142906,323,604,423,90,63,15,7.464421419,2.724571432,2.667929342,0.02,3
New Forest,179753,239,279,155,116,65,42,10.00493558,4.632518583,-0.254626072,0.752,4
Newark and Sherwood,121566,187,163,134,63,52,39,11.5862046,8.318750024,1.057530049,0.274,1
Newcastle upon Tyne,300196,2644,1061,353,185,62,17,8.132245166,4.695164098,1.758784019,0.116,3
Newcastle-under-Lyme,129490,613,449,347,99,76,22,9.888116051,5.701999982,0.359968648,0.664,3
Newham,352005,9720,1003,285,291,83,29,15.03574564,10.12398117,3.329160724,0.002,1
Newport,153302,804,841,549,149,97,18,9.922966533,4.131555637,1.321837697,0.208,3
"Newry, Mourne and Down",180012,107,288,160,33,18,11,5.137128194,1.828695645,3.617404479,0.004,3
North Devon,96110,88,93,97,23,24,25,6.750850684,2.067809514,2.461577696,0.036,3
North East Derbyshire,101125,367,321,317,111,110,35,10.88948773,6.518999815,0.741043648,0.474,1
North East Lincolnshire,159821,833,155,97,34,21,22,11.65695997,7.022666613,-0.524859268,0.668,2
North Hertfordshire,133214,355,230,173,80,60,35,11.77123095,5.848333359,1.336835822,0.152,1
North Kesteven,115985,126,135,116,39,34,29,11.34206291,6.885833263,0.935217945,0.382,1
North Lanarkshire,659200,294,1984,301,512,78,26,4.865778784,2.514731184,5.31878486,0.002,3
North Lincolnshire,172005,203,514,299,73,42,14,11.1277363,9.263400078,-0.718641415,0.486,2
North Norfolk,104552,108,169,162,42,40,25,11.67520907,4.883897433,-0.931206305,0.366,2
North Somerset,213919,571,450,210,96,45,21,8.872092275,4.063999971,0.974219466,0.336,3
North Tyneside,205985,2500,613,298,132,64,22,8.643186097,4.114000082,2.004243907,0.064,3
North Warwickshire,64850,228,189,291,62,96,33,11.23240702,5.110666656,1.162042984,0.234,1
North West Leicestershire,102126,365,154,151,52,51,34,11.42054871,4.801166534,1.128401298,0.272,1
Northampton,225146,2786,496,220,199,88,40,12.58624627,5.526666641,0.584225418,0.652,1
Northumberland,320274,64,1006,314,215,67,21,5.723734308,3.333800009,3.17928692,0.008,3
Norwich,141137,3618,226,160,16,11,7,11.31733747,6.478190008,-0.458992172,0.722,2
Nottingham,331069,4434,611,185,196,59,32,13.70748192,6.261188841,0.921147751,0.37,1
Nuneaton and Bedworth,128902,1631,415,322,107,83,26,11.72549021,5.245482753,-0.790802715,0.47,2
Oadby and Wigston,57056,2424,154,270,46,81,30,11.93039054,5.592056175,0.996410078,0.292,1
Oldham,235623,1654,1076,457,219,93,20,9.586570813,5.743110975,0.245024752,0.774,3
Orkney Islands,22190,22,8,36,2,9,25,2.892838924,2.686000109,#NAME?,0.002,3
Oxford,154327,3382,642,416,68,44,11,12.26904549,5.114930991,-0.412505753,0.754,2
Pembrokeshire,125055,77,278,222,37,30,13,6.024007561,1.587777785,2.340097214,0.04,3
Pendle,91405,539,187,205,61,67,33,8.417094031,4.982000033,-1.798714328,0.096,4
Peterborough,201041,585,428,213,68,34,16,12.01183065,5.909111102,-0.774043264,0.474,2
Plymouth,263100,3295,358,136,72,27,20,8.451641423,1.993211823,1.197447221,0.262,3
Portsmouth,215133,5326,319,148,98,46,31,13.56296647,5.024714095,0.824165795,0.426,1
Powys,132447,25,285,215,84,63,29,7.431577415,2.197942027,-3.73872704,0.002,4
Preston,141818,996,436,307,88,62,20,9.160512527,3.818068441,1.650209435,0.122,3
Reading,163203,4037,586,359,144,88,25,13.39941519,5.211631961,-0.521084859,0.68,2
Redbridge,303858,5384,757,249,290,95,38,13.69192987,9.741265879,2.674309301,0.002,1
Redcar and Cleveland,136718,558,422,309,91,67,22,9.112316731,6.129999995,0.912166753,0.356,3
Redditch,84989,1565,235,277,46,54,20,10.82694417,4.44441949,-0.104608671,0.972,2
