LTLA/NHS,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat_mean,NO2_sat_mean,Z-score,p-value,q-value
Tamworth,76678,2484,179,233,47,61,26,12.39595139,5.06653684,-0.432636477,0.762,2
Tandridge,87496,352,196,224,72,82,37,11.65391003,6.050500035,1.202783879,0.226,1
Tayside,416080,54,1670,401,276,66,17,3.930008902,1.703184526,4.949883771,0.002,3
Teignbridge,132844,197,148,111,30,23,20,6.986900857,2.165166676,2.897993537,0.014,3
Telford and Wrekin,177799,612,367,206,83,47,23,10.25373095,4.815066719,0.31265329,0.708,3
Tendring,145803,432,347,238,125,86,36,12.85888753,5.414333344,0.967144378,0.276,1
Test Valley,125169,199,305,244,92,74,30,10.33552634,4.122666631,0.152346621,0.934,1
Tewkesbury,92599,223,182,197,98,106,54,10.60438596,4.182555636,-0.015389676,0.974,1
Thanet,141819,1373,651,459,119,84,18,15.29816767,8.899333477,-1.625140354,0.048,2
Three Rivers,93045,1047,257,276,80,86,31,11.77028128,7.528646151,1.657446347,0.072,1
Thurrock,172525,1055,338,196,118,68,35,13.36466167,8.66299963,1.463552547,0.106,1
Tonbridge and Malling,130508,543,218,167,49,38,22,12.15322969,7.134666681,-1.313745953,0.172,2
Torbay,135780,2158,221,163,54,40,24,8.827631599,2.095923335,1.917627395,0.082,3
Torfaen,93049,737,346,372,62,67,18,8.419585332,3.762666702,1.417071423,0.198,3
Torridge,68143,69,36,53,18,26,50,6.322756893,1.780484839,-3.020656756,0.014,4
Tower Hamlets,317705,16051,632,199,179,56,28,14.81293861,10.13320702,2.727635502,0.002,1
Trafford,236370,2227,825,349,178,75,22,11.79188598,6.80619372,-0.582337066,0.594,2
Tunbridge Wells,118054,356,206,174,42,36,20,11.76179523,5.67050004,-1.352668135,0.15,2
Uttlesford,89179,139,151,169,54,61,36,11.92150785,6.59191668,1.37084814,0.138,1
Vale of Glamorgan,132165,399,658,498,81,61,12,8.403827756,2.954833388,1.4870123,0.176,3
Vale of White Horse,133732,231,314,235,111,83,35,10.92865574,4.585749984,0.352747196,0.772,1
Wakefield,345038,1018,749,217,255,74,34,11.73014875,8.288999915,0.219809255,0.872,1
Walsall,283378,2723,1087,384,326,115,30,10.51753122,4.767134671,0.310709284,0.81,1
Waltham Forest,276700,7128,767,277,227,82,30,14.03735806,9.786538667,3.136889636,0.002,1
Wandsworth,326474,9524,997,305,202,62,20,14.58145362,10.09236935,-2.87093559,0.002,2
Warrington,209547,1159,770,367,192,92,25,10.98260965,6.514333487,-0.118092598,0.932,2
Warwick,142484,503,295,207,78,55,26,11.33351063,4.596833348,-0.605502618,0.592,2
Watford,96767,4513,398,411,102,105,26,11.68176688,7.830670022,-0.813065656,0.44,2
Waverley,125610,364,303,241,119,95,39,11.21442894,6.000833273,0.87912207,0.382,1
Wealden,160175,192,213,133,85,53,40,11.66828241,5.40253334,1.838977531,0.034,1
Wellingborough,79478,487,160,201,51,64,32,11.62915545,5.33466657,1.064290505,0.302,1
Welwyn Hatfield,122746,947,241,196,88,72,37,11.84617795,7.517999887,1.518354669,0.084,1
West Berkshire,158527,225,379,239,122,77,32,10.70190444,4.168095316,0.712208768,0.486,1
West Devon,55528,48,53,95,15,27,28,6.251146553,2.010238085,-3.164976937,0.008,4
West Lancashire,113949,328,376,330,101,89,27,8.894300123,5.245866585,0.390521164,0.682,3
West Lindsey,94869,82,80,84,17,18,21,11.34387429,8.957824531,-1.069632981,0.286,2
West Oxfordshire,109800,154,339,309,105,96,31,10.79998874,5.172074,0.132088296,0.968,1
West Suffolk,178881,173,225,126,62,35,28,11.75120357,4.17952386,1.266805745,0.178,1
Western Isles,26830,9,6,22,0,0,0,2.159887743,0.47609524,#NAME?,0.002,3
Westminster,255324,11878,656,257,176,69,27,14.26733218,10.02800596,-2.673157111,0.002,2
Wigan,326088,1732,1206,370,291,89,24,10.24497979,6.236706356,0.525666384,0.578,3
Wiltshire,498064,153,529,106,296,59,56,9.809413662,3.776620183,-0.956312283,0.326,4
Winchester,124295,188,368,296,95,76,26,10.38583044,4.41474998,-1.149884932,0.238,2
Windsor and Maidenhead,150906,760,292,193,121,80,41,12.37917263,6.864888827,2.038413788,0.018,1
Wirral,323235,2057,1286,398,354,110,28,10.29182692,4.296333313,-0.310028259,0.6,4
Woking,101167,1590,188,186,58,57,31,12.58838257,6.881407491,1.119124645,0.254,1
Wokingham,167979,938,446,266,131,78,29,12.02186411,5.591729885,1.111730319,0.258,1
Wolverhampton,262008,3770,998,381,270,103,27,10.39687686,4.77541877,-0.211101223,0.916,2
Worcester,101891,3059,219,215,52,51,24,12.5493568,4.124219455,0.15212031,0.794,3
Worthing,110025,3381,216,196,65,59,30,14.92065785,4.644219879,1.362159679,0.114,1
Wrexham,136126,270,562,413,46,34,8,8.604707076,3.035428524,1.692374064,0.11,3
Wychavon,127340,192,255,200,93,73,36,10.5935218,4.254499912,0.228946603,0.856,1
Wycombe,174641,538,246,141,92,53,37,11.37720953,6.56433332,1.161373525,0.242,1
Wyre,111223,394,356,320,78,70,22,7.979441632,3.328222275,1.546486974,0.136,3
Wyre Forest,101062,517,240,237,101,100,42,10.62647773,4.425777753,-0.25858375,0.712,4
York,209893,771,456,217,137,65,30,10.56693729,8.905500174,-0.891476105,0.364,4
