province,prefecture,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat,NO2_sat,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr,Z-score,p-value,q-value
Gansu,Jiayuguan,252000,193.8207353,0,0,0,0,,9.325884576,0.395377775,92.17613285,85.41895928,6.92458984,13.28798575,50.53927335,14.35908083,2.148107612,0.018,3
Gansu,Jiuquan,1127000,7.737810646,0,0,0,0,,5.633316579,0.09475585,,,,,,,3.448485002,0.002,3
Gansu,Wuwei,1827800,55.89208982,0,0,0,0,,13.25594003,0.228356357,95.1841637,76.27669039,13.95907473,11.47686833,25.50499546,16.83985765,2.823763006,0.002,3
Gansu,Qingyang,2266600,83.43164128,3,0.132356834,0,0,0,23.30713818,0.515150617,82.62049207,58.15493814,9.968095303,5.998089441,31.55336677,7.765268006,1.007445469,0.334,3
Gansu,Linxia Hui,2058800,254.7814498,3,0.145715951,0,0,0,25.07814664,0.518979424,73.90386625,46,9.151515152,18.19958203,27.57777778,10.14315569,1.511551925,0.132,3
Gansu,Longnan,2634300,92.5652268,4,0.151842994,0,0,0,21.01823364,0.338738379,107.712831,58.99185336,7.205702648,9.759674134,34.22365591,11.15682281,1.788465236,0.072,3
Gansu,Zhangye,1233800,31.15862739,2,0.162100827,0,0,0,9.625268845,0.127666667,90.05929204,63.61946903,5.738938053,9.476106195,34.63333333,12.32035398,3.82739784,0.002,3
Gansu,Jinchang,468600,63.6832358,1,0.213401622,0,0,0,12.44279219,0.274094017,94.48538593,75.52193114,11.36142193,8.940285566,39.04528176,21.69847781,2.450388663,0.012,3
Gansu,Baiyin,1734200,86.27495239,4,0.230653904,0,0,0,23.22179998,0.482205638,107.0459459,91.64774775,9.397297297,14.64684685,20.27727273,22.83153153,1.882566878,0.06,3
Gansu,Dingxi,2821700,143.3298139,9,0.318956657,0,0,0,24.38559465,0.424811743,95.48574238,59.05358899,7.823326772,10.52753196,27.18886098,12.13176008,1.410863836,0.138,3
Gansu,Tianshui,3354900,235.757334,12,0.357685773,0,0,0,26.66426668,0.446243677,96.33895297,58.86956522,7.409498208,16.15794144,25.8513146,9.653948536,0.762498245,0.458,3
Gansu,Pingliang,2119100,191.4236357,9,0.424708603,0,0,0,26.85704158,0.702666668,102.2907801,56.88120567,8.691489362,20.89539007,20.2954342,11.38741135,0.83317449,0.408,3
Gansu,Lanzhou,3753600,282.8722345,36,0.959079284,2,0.053282182,5.555555556,25.67893987,1.062209242,121.1528249,84.55935627,13.0807547,22.743814,33.58412477,13.12395829,1.416631991,0.164,3
Gansu,Gannan Tibetan,720200,19.72872742,8,1.110802555,0,0,0,9.728306152,0.17075847,120.0005013,76.00050125,13.25714286,14.49573935,18.25520041,7.102255639,2.619589045,0.008,3
Guangdong,Yunfu,2526900,324.5355249,0,0,0,0,,30.7522425,1.623094528,89.58494526,43.24392039,10.71130995,10.16138636,18.01989307,9.901530651,-0.112671417,0.886,2
Guangdong,Heyuan,3093900,198.0239753,4,0.129286661,0,0,0,23.54879848,0.625726616,92.92767036,41.60768086,7.706140528,10.92837258,27.080534,5.678277851,1.075413602,0.296,3
Guangdong,Shanwei,2993600,616.0904758,5,0.167022982,0,0,0,20.67528207,0.840809518,84.78670386,36.67016081,7.044034975,5.676778176,31.54408182,5.175694369,1.015309385,0.312,3
Guangdong,Jieyang,6089400,1166.321788,11,0.180641771,0,0,0,21.62121836,0.992074067,98.86262488,46.79041456,8.866759759,9.400639183,33.72853425,9.21310332,1.321329935,0.174,3
Guangdong,Maoming,6313200,554.8849282,14,0.221757587,0,0,0,28.08110638,0.933639997,87.43612214,41.21722937,7.607016215,6.764364827,28.23541415,7.844057675,0.16467019,0.922,3
Guangdong,Chaozhou,2656600,828.8113932,6,0.225852594,0,0,0,19.76719646,0.860873566,99.7589314,48.42938855,9.943219419,8.101516728,40.91574583,6.467223261,1.294324434,0.196,3
Guangdong,Qingyuan,3874000,204.8100265,12,0.309757357,0,0,0,30.79233596,1.130376469,84.781354,41.14169304,9.74505594,13.28505505,24.5132093,9.625334926,-0.282210919,0.758,2
Guangdong,Zhanjiang,7332000,583.9118154,24,0.327332242,0,0,0,25.3938889,0.968672729,78.56011872,38.73438767,8.741003807,6.712565199,29.69039029,5.348603053,0.004501357,0.988,3
Guangdong,Shaoguan,2997600,163.0467758,10,0.333600214,1,0.033360021,10,27.52292772,0.984358025,93.33072456,44.03255627,9.813753726,11.91292822,25.45676707,11.44710318,0.37442619,0.71,3
Guangdong,Meizhou,4378800,276.8343288,17,0.388234219,0,0,0,20.31610098,0.756755867,94.52221504,44.0932917,8.434061999,9.978666866,23.61178929,4.736740199,1.709897374,0.08,3
Guangdong,Shantou,5638500,2733.575829,26,0.461115545,0,0,0,22.50431033,1.586315782,100.3803671,49.7758191,8.532790593,10.59486798,33.67307779,9.279950287,0.911144624,0.368,3
Guangdong,Zhaoqing,4151700,279.2817781,20,0.481730376,1,0.024086519,5,31.84469818,1.64318461,100.9909525,49.48310723,9.131141543,12.8379446,22.54495127,10.20657439,-0.260647476,0.794,2
Guangdong,Jiangmen,4598200,490.1912339,24,0.521943369,0,0,0,31.0906207,4.033019607,96.28402561,48.70814366,7.171785872,15.65639597,21.7232415,9.187327003,-0.175461972,0.846,2
Guangdong,Yangjiang,2555600,326.9752559,14,0.54781656,0,0,0,26.42620147,1.308428565,88.26508679,37.77790587,9.76704236,10.30754172,25.25192863,3.587091592,0.064945541,0.996,3
Guangdong,Dongguan,8392200,3469.672666,100,1.19158266,1,0.011915827,1,34.76510941,7.645966661,98.57647141,44.61406703,7.511318863,16.00101777,35.19224004,8.077706303,0.00881333,0.938,3
Guangdong,Foshan,7905700,2036.169053,100,1.214313723,0,0,0,37.91958381,7.483166668,99.63088733,47.26259439,8.84990904,20.28441155,24.04725528,9.423629885,-0.273203324,0.78,2
Guangdong,Huizhou,4830000,427.1469298,62,1.283643892,0,0,0,26.20038035,1.342824745,81.91322805,40.05766032,6.178458085,9.521392269,28.01778569,5.484315394,0.390502591,0.716,3
Guangdong,Zhongshan,3310000,1886.477549,69,2.054380665,0,0,0,34.60266069,8.737999886,88.86957659,40.27464671,9.327509549,12.32053368,23.32293153,6.211327621,-0.287900062,0.764,2
Guangdong,Guangzhou,14904400,2088.678485,507,3.133302917,1,0.006709428,0.214132762,34.82906141,4.024127004,100.554408,48.22024175,8.093725901,17.63483414,28.10195826,7.469590665,-0.191037616,0.83,2
Guangdong,Shenzhen,13026600,6796.338106,462,3.500529685,3,0.023029801,0.657894737,29.20753323,7.120666756,92.73018457,46.59458093,9.752245453,19.21492377,33.49808803,5.337830226,0.276736022,0.82,3
Guangdong,Zhuhai,1891100,1225.112795,103,5.446565491,1,0.052879277,0.970873786,29.23782092,5.444424196,92.46603867,50.6747645,8.75,16.70004958,31.66914683,6.233515121,0.107349386,0.896,1
Guangxi,Chongzuo,2099400,120.7369859,0,0,0,0,,26.02293085,0.475841059,,,,,,,0.314924994,0.802,3
Guangxi,Baise,3669400,101.2976033,3,0.081757236,0,0,0,22.11791305,0.420873064,96.81082816,46.31925725,7.676343873,6.866610544,20.51076341,6.831742608,1.14855237,0.234,3
Guangxi,Wuzhou,3061100,244.1029623,5,0.163339976,0,0,0,31.85825223,0.866715149,85.98069151,36.78221823,13.4207454,8.943421643,35.91020408,6.889986529,-0.160940564,0.842,2
Guangxi,Guigang,4409200,414.932516,8,0.18143881,0,0,0,35.05248231,0.807395187,,,,,,,-0.285857644,0.778,2
Guangxi,Yulin,5849700,454.9643913,11,0.188043831,0,0,0,32.76116442,0.924193143,89.16358334,39.52295218,8.732480836,7.948138893,28.00732398,9.462251302,-0.045590504,0.962,3
Guangxi,Hezhou,2072600,177.6073816,4,0.192994307,0,0,0,31.45161961,0.549767295,93.41553749,47.29739443,5.492362983,6.298292902,22.35321101,7.374663073,-0.116811792,0.894,2
Guangxi,Qinzhou,3304400,308.3094851,8,0.242101441,0,0,0,33.32354047,0.761913978,88.46749777,44.62778272,10.01959038,6.024042743,23.38630137,10.97506679,-0.139385524,0.886,2
Guangxi,Laibin,2233900,169.7635797,11,0.492412373,0,0,0,33.7783745,0.820655369,,,,,,,-0.10806964,0.892,2
Guangxi,Liuzhou,4041700,214.8297937,24,0.593809536,0,0,0,31.79552745,0.6400818,120.9628855,59.59870214,9.689644158,11.99242084,32.79267732,14.87264398,0.055570759,1,3
Guangxi,Guilin,5085500,184.5570847,32,0.629239996,0,0,0,30.81754521,0.541133332,116.1594843,53.53832081,9.355430057,10.61437182,28.2697182,11.12117549,-0.248640844,0.82,2
Guangxi,Nanning,7254100,328.0151665,55,0.758191919,0,0,0,32.29024148,0.794572863,100.8115236,52.50481406,8.130979077,13.87547543,20.11183585,6.484211366,0.203594615,0.84,3
Guangxi,Hechi,3545700,106.1342196,28,0.789688919,1,0.028203176,3.571428571,27.73737296,0.45173111,96.14477212,45.18319929,11.70598749,9.645218945,17.15173675,12.91867739,0.258796818,0.824,3
Guangxi,Fangchenggang,953300,158.7008391,19,1.993076681,0,0,0,28.72438267,0.453169811,,,,,,,-0.027216916,0.978,3
Guangxi,Beihai,1680000,483.203079,44,2.619047619,1,0.05952381,2.272727273,31.00343533,0.798266665,79.88741781,44.27809495,10.51598368,6.797148919,34.15477172,5.741843586,0.04770025,0.986,3
Guizhou,Qianxinan Buyei and Miao,2871700,170.9085005,4,0.139290316,0,0,0,21.17666159,0.819275938,,,,,,,1.267460935,0.208,3
Guizhou,Anshun,2353100,252.4876516,4,0.169988526,0,0,0,25.44932159,0.946232557,,,,,,,1.035504986,0.318,3
Guizhou,Qiandongnan Miao and Dong,3538300,116.8104536,10,0.282621598,0,0,0,29.47722157,0.528065932,,,,,,,0.248111399,0.822,3
Guizhou,Tongren,3168800,176.6351527,10,0.315576875,0,0,0,29.41831292,0.596592154,,,,,,,0.214039126,0.858,3
Guizhou,Liupanshui,2937300,294.5359884,10,0.340448711,1,0.034044871,10,19.11853717,1.257310861,,,,,,,1.313477121,0.186,3
Guizhou,Bijie,6686100,249.5153022,23,0.343997248,0,0,0,20.65795905,1.001379776,,,,,,,1.301834616,0.184,3
Guizhou,Zunyi,6270700,203.7647828,32,0.510309854,0,0,0,28.47436655,0.867787133,110.5772524,59.64850435,6.875604156,13.88736996,20.44541515,10.56647967,0.451568595,0.678,3
Guizhou,Qiannan Buyei and Miao,3292100,126.3810072,17,0.516387716,0,0,0,27.29573422,0.617164519,,,,,,,0.734933986,0.44,3
Guizhou,Guiyang,4881900,607.6200325,36,0.737417809,1,0.020483828,2.777777778,29.40269648,1.007661974,101.0342835,49.26246921,6.597555228,12.59477262,19.48679608,9.851237495,0.74654877,0.462,3
Hainan,Hainan,6221700,207.8975538,75,1.205458315,5,0.080363888,6.666666667,14.49142199,0.40863172,58.38518715,28.06993032,6.59352883,3.958613619,20.31040621,2.139585894,1.554075966,0.118,3
Hainan,Haikou,2272100,1010.298849,39,1.716473747,0,0,0,15.9501425,0.755666673,67.07403564,33.48530249,5.900766286,6.278787333,21.32462583,2.806791134,1.025975293,0.32,3
Hainan,Sanya,764200,405.2704795,55,7.066213033,1,0.130855797,1.851851852,12.67618144,0.294250002,57.27687734,26.08681939,6.401771701,6.50117711,17.15412301,1.14401485,-1.065606351,0.274,4
Hebei,Hengshui,4460400,504.9708462,8,0.179356112,0,0,0,70.14027765,4.444999977,183.9647449,126.9874503,11.7062651,19.65958926,28.21580929,21.79695884,-4.512506908,0.002,2
Hebei,Chengde,3565000,90.27034292,7,0.196353436,0,0,0,21.36982395,1.043812893,114.6644204,69.56284253,8.681413723,15.27435562,26.99652184,13.71801076,-0.256992867,0.79,2
Hebei,Shijiazhuang,10879900,773.9765412,29,0.266546568,0,0,0,50.3770951,6.130470331,186.6507982,139.8904006,13.56086891,24.64458967,22.39926768,29.75392849,-1.661533944,0.096,2
Hebei,Baoding,11690500,524.2480884,32,0.27372653,0,0,0,50.00322183,3.830869814,186.9598806,140.9169337,14.66422909,24.91311693,26.77753113,29.42086726,-2.608124561,0.022,2
Hebei,Xingtai,7351600,589.3266134,23,0.312857065,1,0.013602481,4.347826087,54.59209735,5.507100272,177.6173075,134.8703784,13.34151958,26.44833749,20.52823928,27.91661523,-3.928046977,0.002,2
Hebei,Qinhuangdao,3110800,400.1805321,10,0.321460718,1,0.032146072,10,38.56796166,4.96291454,127.4440672,83.23788516,12.00896087,20.54693097,21.33996813,20.95182663,-0.137282144,0.902,2
Hebei,Handan,9511100,788.799781,32,0.336448991,0,0,0,50.43655542,6.302480862,176.5995924,122.7421141,15.73575665,23.0856567,19.40155723,30.76929038,-2.630994312,0.014,2
